unit,thickness,code,gs_base,gs_top,labels
216,0.3,sh,vc,,
217,1,sh,c,,
218,0.2,sh,vc,,a
219,1.3,st,vc,,b
220,1,sh,gr,,c
221,1,st,gr,,w
222,0.7,st,c,,r
223,0.6,fsl,si,,t
224,0.5,gmm,pebb,,y
225,0.2,sh,m,,u
226,1.5,fsl,si,,
227,0.7,sr,f,,
228,0.2,fsr,si,,
229,0.4,sr,m,,
230,1.5,fsr,si,,
231,1.5,gmm,pebb,,
232,1.5,sm,vc,,
233,1.2,sh,c,,
234,1.5,sh,vc,,
235,1.1,fsl,si,,
236,0.1,st,vc,,
237,0.1,sp,m,,
238,3,st,vc,,
239,0.7,st,gr,,
240,2.5,sh,vc,,
241,1,sh,c,,
242,0.4,st,c,,
243,1.3,sh,c,,
244,0.7,st,c,,
245,0.3,fsr,si,,
246,5,st,c,,
247,1,fsr,si,,
248,1.1,gmm,pebb,,
249,0.8,gmm,pebb,,
250,0.3,fsr,si,,
251,0.5,sr,pebb,f,
252,0.7,sp,c,,
253,0.6,sh,c,,
254,4,st,c,,
255,2,sp,m,,
256,0.7,gmm,pebb,,
257,0.3,sh,gr,,
258,2,sh,gr,,
259,2.5,sp,m,,
260,0.6,gmm,pebb,,
261,0.7,gch,pebb,,
262,0.2,sh,gr,,
263,0.1,fsr,si,,
264,0.2,sh,gr,,
265,0.4,st,gr,,
266,2.3,sh,gr,,
267,4.1,sp,m,,
268,1.4,gmm,pebb,,
269,0.7,gcm,pebb,,
270,1,gmm,pebb,,
271,0.2,sr,c,,
272,0.4,sh,gr,,
273,0.2,sh,m,,
274,0.3,sh,gr,,
275,0.7,sr,c,,
276,1.8,sh,gr,,
277,4.4,sp,m,,
278,0.7,gmm,pebb,,
279,0.2,sh,gr,,
280,0.1,st,gr,,
281,0.3,sh,c,,
282,0.1,sh,gr,,
283,1,gmm,pebb,,
284,0.4,sr,m,,
285,0.6,sh,gr,,
286,1,gmm,pebb,,
287,1.9,sh,gr,,
288,4.3,sp,m,,
289,0.9,sh,gr,,
290,2.1,gmm,pebb,,
291,0.3,sr,c,,
292,2.2,gmm,pebb,,
293,1.9,sh,gr,,
294,0.5,sm,vc,,
295,2,gcm,pebb,,
296,1.5,sh,gr,,
297,0.5,gcm,pebb,,
298,0.8,st,c,,
299,0.1,gcm,pebb,,
300,2,sm,c,,
301,8,sm,c,,
302,1.5,fsl,si,,
303,1,st,m,,
304,0.2,fsl,si,,
305,0.4,sh,m,,
306,0.5,fsl,si,,
307,1.5,sh,f,,
308,0.7,sr,vf,,
309,2.5,sh,m,,
310,1.5,fsl,si,,
311,1.5,sh,c,,
312,4,sh,m,,
313,7.5,st,m,,
314,0.25,fsl,si,,
315,0.65,sm,m,,
316,4,fsl,si,,
317,5,fsl,si,,
318,0.45,gcm,pebb,,
319,0.4,st,m,,
320,3,st,m,,
321,0.3,fsl,si,,
322,0.3,sh,f,,
323,0.6,fsl,si,,
324,6,gct,pebb,gr,
325,6,st,f,,
326,3,sh,f,,
327,0.4,sh,f,,
328,4.5,cov,,,
329,4.5,st,gr,,
330,3.2,st,m,,
331,1.5,gmm,pebb,,
332,1.4,sm,m,,
333,0.2,fsl,si,,
334,0.7,sm,m,,
335,0.1,fsl,si,,
336,2,sm,m,,
337,0.4,fsl,si,,
338,0.7,sm,m,,
339,0.2,fsl,si,,
340,3,st,m,,
341,0.5,fsl,si,,
342,2.5,st,m,,
343,0.25,fsl,si,,
344,2,st,gr,,
345,15,sm,m,,
346,0.3,gcm,pebb,,
347,6,sm,m,,
